HealthRecordID,LivestockID,CheckupDate,HealthCondition,Treatment,VetName
1,20,2023-02-05,Bi thuong,Tiem phong,Bac si Quan
2,24,2023-11-24,Hoi phuc,Khang sinh,Bac si Quynh
3,22,2023-09-04,Tot,Che do an dac biet,Bac si Quan
4,7,2023-10-16,Hoi phuc,Che do an dac biet,Bac si Quan
5,4,2023-05-25,Tot,Khang sinh,Bac si Quan
6,2,2023-10-15,Tot,Khang sinh,Bac si Quynh
7,2,2023-06-26,Bi thuong,Khang sinh,Bac si Quynh
8,4,2023-12-18,Hoi phuc,Khang sinh,Bac si Quynh
9,6,2023-10-19,Tot,Che do an dac biet,Bac si Quan
10,15,2023-01-08,Hoi phuc,Tiem phong,Bac si Quan
11,25,2023-07-29,Bi thuong,Khang sinh,Bac si Huyen
12,24,2023-12-14,Bi thuong,Khang sinh,Bac si Huyen
13,15,2023-03-16,Bi thuong,Tiem phong,Bac si Huyen
14,1,2023-04-19,Hoi phuc,Khang sinh,Bac si Quan
15,8,2023-01-31,Hoi phuc,Khang sinh,Bac si Quan
16,4,2023-03-30,Hoi phuc,Khang sinh,Bac si Huyen
17,23,2023-10-22,Tot,Tiem phong,Bac si Quynh
18,25,2023-05-04,Hoi phuc,Khang sinh,Bac si Quynh
19,22,2023-09-17,Bi thuong,Che do an dac biet,Bac si Quynh
20,5,2023-01-22,Bi thuong,Che do an dac biet,Bac si Huyen
21,8,2023-03-09,Hoi phuc,Khang sinh,Bac si Huyen
22,16,2023-12-20,Tot,Tiem phong,Bac si Quan
23,16,2023-01-09,Hoi phuc,Tiem phong,Bac si Quynh
24,13,2023-06-01,Tot,Che do an dac biet,Bac si Huyen
25,17,2023-12-13,Tot,Tiem phong,Bac si Huyen
